State,Month,DeathToll
Alaska,Jan-20,0
Alaska,Feb-20,0
Alaska,Mar-20,13
Alaska,Apr-20,230
Alaska,May-20,305
Alaska,Jun-20,351
Alaska,Jul-20,558
Alaska,Aug-20,912
Alaska,Sep-20,1359
Alaska,Oct-20,2017
Alaska,Nov-20,2972
Alaska,Dec-20,5362
Alabama,Jan-20,0
Alabama,Feb-20,0
Alabama,Mar-20,30
Alabama,Apr-20,3936
Alabama,May-20,14341
Alabama,Jun-20,23695
Alabama,Jul-20,38436
Alabama,Aug-20,58857
Alabama,Sep-20,71418
Alabama,Oct-20,85064
Alabama,Nov-20,98538
Alabama,Dec-20,131827
Arkansas,Jan-20,0
Arkansas,Feb-20,0
Arkansas,Mar-20,34
Arkansas,Apr-20,989
Arkansas,May-20,3116
Arkansas,Jun-20,5851
Arkansas,Jul-20,10794
Arkansas,Aug-20,19052
Arkansas,Sep-20,32401
Arkansas,Oct-20,51279
Arkansas,Nov-20,66721
Arkansas,Dec-20,95245
Arizona,Jan-20,0
Arizona,Feb-20,0
Arizona,Mar-20,113
Arizona,Apr-20,4792
Arizona,May-20,19859
Arizona,Jun-20,37298
Arizona,Jul-20,79627
Arizona,Aug-20,137942
Arizona,Sep-20,161364
Arizona,Oct-20,179972
Arizona,Nov-20,189499
Arizona,Dec-20,237324
California,Jan-20,0
California,Feb-20,0
California,Mar-20,910
California,Apr-20,28692
California,May-20,97739
California,Jun-20,153944
California,Jul-20,229362
California,Aug-20,345648
California,Sep-20,435369
California,Oct-20,520762
California,Nov-20,550121
California,Dec-20,676929
Colorado,Jan-20,0
Colorado,Feb-20,0
Colorado,Mar-20,328
Colorado,Apr-20,11714
Colorado,May-20,35612
Colorado,Jun-20,48035
Colorado,Jul-20,54225
Colorado,Aug-20,58648
Colorado,Sep-20,60020
Colorado,Oct-20,66960
Colorado,Nov-20,78495
Colorado,Dec-20,125307
Connecticut,Jan-20,0
Connecticut,Feb-20,0
Connecticut,Mar-20,274
Connecticut,Apr-20,29587
Connecticut,May-20,100856
Connecticut,Jun-20,125398
Connecticut,Jul-20,135762
Connecticut,Aug-20,138000
Connecticut,Sep-20,134566
Connecticut,Oct-20,141104
Connecticut,Nov-20,143352
Connecticut,Dec-20,170624
District of Columbia,Jan-20,0
District of Columbia,Feb-20,0
District of Columbia,Mar-20,42
District of Columbia,Apr-20,2650
District of Columbia,May-20,11291
District of Columbia,Jun-20,15433
District of Columbia,Jul-20,17731
District of Columbia,Aug-20,18495
District of Columbia,Sep-20,18516
District of Columbia,Oct-20,19785
District of Columbia,Nov-20,19873
District of Columbia,Dec-20,22570
Delaware,Jan-20,0
Delaware,Feb-20,0
