City,Borough,Year,RentPrice
All Downtown,Manhattan,2010,3200
All Downtown,Manhattan,2010,3200
All Downtown,Manhattan,2010,3025
All Downtown,Manhattan,2010,3100
All Downtown,Manhattan,2010,3100
All Downtown,Manhattan,2010,3200
All Downtown,Manhattan,2010,3195
All Downtown,Manhattan,2010,3200
All Downtown,Manhattan,2010,3400
All Downtown,Manhattan,2010,3495
All Downtown,Manhattan,2010,3450
All Downtown,Manhattan,2010,3400
All Downtown,Manhattan,2011,3375
All Downtown,Manhattan,2011,3397
All Downtown,Manhattan,2011,3300
All Downtown,Manhattan,2011,3300
All Downtown,Manhattan,2011,3395
All Downtown,Manhattan,2011,3400
All Downtown,Manhattan,2011,3395
All Downtown,Manhattan,2011,3495
All Downtown,Manhattan,2011,3600
All Downtown,Manhattan,2011,3650
All Downtown,Manhattan,2011,3550
All Downtown,Manhattan,2011,3495
All Downtown,Manhattan,2012,3450
All Downtown,Manhattan,2012,3450
All Downtown,Manhattan,2012,3500
All Downtown,Manhattan,2012,3500
All Downtown,Manhattan,2012,3550
All Downtown,Manhattan,2012,3550
All Downtown,Manhattan,2012,3500
All Downtown,Manhattan,2012,3550
All Downtown,Manhattan,2012,3635
All Downtown,Manhattan,2012,3600
All Downtown,Manhattan,2012,3650
All Downtown,Manhattan,2012,3650
All Downtown,Manhattan,2013,3525
All Downtown,Manhattan,2013,3500
All Downtown,Manhattan,2013,3500
All Downtown,Manhattan,2013,3500
All Downtown,Manhattan,2013,3500
All Downtown,Manhattan,2013,3500
All Downtown,Manhattan,2013,3500
All Downtown,Manhattan,2013,3575
All Downtown,Manhattan,2013,3650
All Downtown,Manhattan,2013,3650
All Downtown,Manhattan,2013,3695
All Downtown,Manhattan,2013,3600
All Downtown,Manhattan,2014,3624
All Downtown,Manhattan,2014,3600
All Downtown,Manhattan,2014,3600
All Downtown,Manhattan,2014,3650
All Downtown,Manhattan,2014,3650
All Downtown,Manhattan,2014,3595
All Downtown,Manhattan,2014,3595
All Downtown,Manhattan,2014,3595
All Downtown,Manhattan,2014,3650
All Downtown,Manhattan,2014,3600
All Downtown,Manhattan,2014,3600
All Downtown,Manhattan,2014,3600
All Downtown,Manhattan,2015,3600
All Downtown,Manhattan,2015,3640
All Downtown,Manhattan,2015,3650
All Downtown,Manhattan,2015,3700
All Downtown,Manhattan,2015,3750
All Downtown,Manhattan,2015,3700
All Downtown,Manhattan,2015,3700
All Downtown,Manhattan,2015,3770
All Downtown,Manhattan,2015,3795
All Downtown,Manhattan,2015,3800
All Downtown,Manhattan,2015,3750
All Downtown,Manhattan,2015,3775
All Downtown,Manhattan,2016,3700
All Downtown,Manhattan,2016,3701
All Downtown,Manhattan,2016,3750
All Downtown,Manhattan,2016,3795
All Downtown,Manhattan,2016,3800
All Downtown,Manhattan,2016,3850
All Downtown,Manhattan,2016,3892
All Downtown,Manhattan,2016,3795
All Downtown,Manhattan,2016,3795
All Downtown,Manhattan,2016,3751
All Downtown,Manhattan,2016,3700
All Downtown,Manhattan,2016,3650
All Downtown,Manhattan,2017,3650
All Downtown,Manhattan,2017,3700
All Downtown,Manhattan,2017,3695
All Downtown,Manhattan,2017,3708
All Downtown,Manhattan,2017,3790
All Downtown,Manhattan,2017,3725
All Downtown,Manhattan,2017,3727
All Downtown,Manhattan,2017,3700
All Downtown,Manhattan,2017,3664
All Downtown,Manhattan,2017,3662
All Downtown,Manhattan,2017,3675
All Downtown,Manhattan,2017,3640
All Downtown,Manhattan,2018,3650
All Downtown,Manhattan,2018,3750
All Downtown,Manhattan,2018,3735
All Downtown,Manhattan,2018,3754
All Downtown,Manhattan,2018,3838
All Downtown,Manhattan,2018,3800
All Downtown,Manhattan,2018,3795
All Downtown,Manhattan,2018,3800
All Downtown,Manhattan,2018,3825
All Downtown,Manhattan,2018,3800
All Downtown,Manhattan,2018,3850
All Downtown,Manhattan,2018,3800
All Downtown,Manhattan,2019,3800
All Downtown,Manhattan,2019,3850
All Downtown,Manhattan,2019,3800
All Downtown,Manhattan,2019,3937
All Downtown,Manhattan,2019,4000
All Downtown,Manhattan,2019,4051
All Downtown,Manhattan,2019,4000
All Downtown,Manhattan,2019,3995
All Downtown,Manhattan,2019,4000
All Downtown,Manhattan,2019,4029
All Downtown,Manhattan,2019,4043
All Downtown,Manhattan,2019,4000
All Downtown,Manhattan,2020,4000
All Downtown,Manhattan,2020,3995
All Downtown,Manhattan,2020,3995
All Downtown,Manhattan,2020,3850
All Downtown,Manhattan,2020,3700
All Downtown,Manhattan,2020,3600
All Downtown,Manhattan,2020,3500
All Downtown,Manhattan,2020,3390
All Downtown,Manhattan,2020,3295
All Downtown,Manhattan,2020,3197
All Downtown,Manhattan,2020,3120
All Downtown,Manhattan,2020,3150
All Downtown,Manhattan,2021,3103
All Downtown,Manhattan,2021,3195
All Downtown,Manhattan,2021,3200
All Downtown,Manhattan,2021,3200
All Downtown,Manhattan,2021,3326
All Downtown,Manhattan,2021,3562
All Downtown,Manhattan,2021,3800
All Downtown,Manhattan,2021,4000
All Downtown,Manhattan,2021,4150
All Downtown,Manhattan,2021,4300
All Downtown,Manhattan,2021,4350
All Downtown,Manhattan,2021,4362
All Downtown,Manhattan,2022,4500
All Downtown,Manhattan,2022,4581
All Downtown,Manhattan,2022,4583
All Downtown,Manhattan,2022,4700
All Downtown,Manhattan,2022,4795
All Downtown,Manhattan,2022,4750
All Downtown,Manhattan,2022,4800
All Downtown,Manhattan,2022,4799
All Downtown,Manhattan,2022,4855
All Downtown,Manhattan,2022,4800
All Downtown,Manhattan,2022,4750
All Downtown,Manhattan,2022,4750
All Midtown,Manhattan,2010,2875
All Midtown,Manhattan,2010,2800
All Midtown,Manhattan,2010,2800
All Midtown,Manhattan,2010,2850
All Midtown,Manhattan,2010,2895
All Midtown,Manhattan,2010,2950
All Midtown,Manhattan,2010,3000
All Midtown,Manhattan,2010,3000
All Midtown,Manhattan,2010,3100
All Midtown,Manhattan,2010,3100
All Midtown,Manhattan,2010,3150
All Midtown,Manhattan,2010,3150
All Midtown,Manhattan,2011,3160
All Midtown,Manhattan,2011,3198
All Midtown,Manhattan,2011,3195
All Midtown,Manhattan,2011,3200
All Midtown,Manhattan,2011,3250
All Midtown,Manhattan,2011,3300
All Midtown,Manhattan,2011,3335
All Midtown,Manhattan,2011,3300
All Midtown,Manhattan,2011,3350
All Midtown,Manhattan,2011,3375
All Midtown,Manhattan,2011,3395
All Midtown,Manhattan,2011,3350
All Midtown,Manhattan,2012,3300
All Midtown,Manhattan,2012,3250
All Midtown,Manhattan,2012,3250
All Midtown,Manhattan,2012,3320
