City,Borough,Year,Month,RentPrice
All Downtown,Manhattan,2010,1-Jan,3200
All Downtown,Manhattan,2010,1-Feb,3200
All Downtown,Manhattan,2010,1-Mar,3025
All Downtown,Manhattan,2010,1-Apr,3100
All Downtown,Manhattan,2010,1-May,3100
All Downtown,Manhattan,2010,1-Jun,3200
All Downtown,Manhattan,2010,1-Jul,3195
All Downtown,Manhattan,2010,1-Aug,3200
All Downtown,Manhattan,2010,1-Sep,3400
All Downtown,Manhattan,2010,1-Oct,3495
All Downtown,Manhattan,2010,1-Nov,3450
All Downtown,Manhattan,2010,1-Dec,3400
All Downtown,Manhattan,2011,1-Jan,3375
All Downtown,Manhattan,2011,1-Feb,3397
All Downtown,Manhattan,2011,1-Mar,3300
All Downtown,Manhattan,2011,1-Apr,3300
All Downtown,Manhattan,2011,1-May,3395
All Downtown,Manhattan,2011,1-Jun,3400
All Downtown,Manhattan,2011,1-Jul,3395
All Downtown,Manhattan,2011,1-Aug,3495
All Downtown,Manhattan,2011,1-Sep,3600
All Downtown,Manhattan,2011,1-Oct,3650
All Downtown,Manhattan,2011,1-Nov,3550
All Downtown,Manhattan,2011,1-Dec,3495
All Downtown,Manhattan,2012,1-Jan,3450
All Downtown,Manhattan,2012,1-Feb,3450
All Downtown,Manhattan,2012,1-Mar,3500
All Downtown,Manhattan,2012,1-Apr,3500
All Downtown,Manhattan,2012,1-May,3550
All Downtown,Manhattan,2012,1-Jun,3550
All Downtown,Manhattan,2012,1-Jul,3500
All Downtown,Manhattan,2012,1-Aug,3550
All Downtown,Manhattan,2012,1-Sep,3635
All Downtown,Manhattan,2012,1-Oct,3600
All Downtown,Manhattan,2012,1-Nov,3650
All Downtown,Manhattan,2012,1-Dec,3650
All Downtown,Manhattan,2013,1-Jan,3525
All Downtown,Manhattan,2013,1-Feb,3500
All Downtown,Manhattan,2013,1-Mar,3500
All Downtown,Manhattan,2013,1-Apr,3500
All Downtown,Manhattan,2013,1-May,3500
All Downtown,Manhattan,2013,1-Jun,3500
All Downtown,Manhattan,2013,1-Jul,3500
All Downtown,Manhattan,2013,1-Aug,3575
All Downtown,Manhattan,2013,1-Sep,3650
All Downtown,Manhattan,2013,1-Oct,3650
All Downtown,Manhattan,2013,1-Nov,3695
All Downtown,Manhattan,2013,1-Dec,3600
All Downtown,Manhattan,2014,1-Jan,3624
All Downtown,Manhattan,2014,1-Feb,3600
All Downtown,Manhattan,2014,1-Mar,3600
All Downtown,Manhattan,2014,1-Apr,3650
All Downtown,Manhattan,2014,1-May,3650
All Downtown,Manhattan,2014,1-Jun,3595
All Downtown,Manhattan,2014,1-Jul,3595
All Downtown,Manhattan,2014,1-Aug,3595
All Downtown,Manhattan,2014,1-Sep,3650
All Downtown,Manhattan,2014,1-Oct,3600
All Downtown,Manhattan,2014,1-Nov,3600
All Downtown,Manhattan,2014,1-Dec,3600
All Downtown,Manhattan,2015,1-Jan,3600
All Downtown,Manhattan,2015,1-Feb,3640
All Downtown,Manhattan,2015,1-Mar,3650
All Downtown,Manhattan,2015,1-Apr,3700
All Downtown,Manhattan,2015,1-May,3750
All Downtown,Manhattan,2015,1-Jun,3700
All Downtown,Manhattan,2015,1-Jul,3700
All Downtown,Manhattan,2015,1-Aug,3770
All Downtown,Manhattan,2015,1-Sep,3795
All Downtown,Manhattan,2015,1-Oct,3800
All Downtown,Manhattan,2015,1-Nov,3750
All Downtown,Manhattan,2015,1-Dec,3775
All Downtown,Manhattan,2016,1-Jan,3700
All Downtown,Manhattan,2016,1-Feb,3701
All Downtown,Manhattan,2016,1-Mar,3750
All Downtown,Manhattan,2016,1-Apr,3795
All Downtown,Manhattan,2016,1-May,3800
All Downtown,Manhattan,2016,1-Jun,3850
All Downtown,Manhattan,2016,1-Jul,3892
All Downtown,Manhattan,2016,1-Aug,3795
All Downtown,Manhattan,2016,1-Sep,3795
All Downtown,Manhattan,2016,1-Oct,3751
All Downtown,Manhattan,2016,1-Nov,3700
All Downtown,Manhattan,2016,1-Dec,3650
All Downtown,Manhattan,2017,1-Jan,3650
All Downtown,Manhattan,2017,1-Feb,3700
All Downtown,Manhattan,2017,1-Mar,3695
All Downtown,Manhattan,2017,1-Apr,3708
All Downtown,Manhattan,2017,1-May,3790
All Downtown,Manhattan,2017,1-Jun,3725
All Downtown,Manhattan,2017,1-Jul,3727
All Downtown,Manhattan,2017,1-Aug,3700
All Downtown,Manhattan,2017,1-Sep,3664
All Downtown,Manhattan,2017,1-Oct,3662
All Downtown,Manhattan,2017,1-Nov,3675
All Downtown,Manhattan,2017,1-Dec,3640
All Downtown,Manhattan,2018,1-Jan,3650
All Downtown,Manhattan,2018,1-Feb,3750
All Downtown,Manhattan,2018,1-Mar,3735
All Downtown,Manhattan,2018,1-Apr,3754
All Downtown,Manhattan,2018,1-May,3838
All Downtown,Manhattan,2018,1-Jun,3800
